# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000011	000000	000007	000013	000031
000004 134145	026450	212473	713879	1086947
000005 11644312	1408697	16949475	16897798	46900282
000006 5926040	611756	564951	155731	7258478
000007 112500	599762	214969	189776	1117007
000008 178673	606484	047938	037312	870407
000009 003022	559720	006778	004402	573922
000010 000643	606189	001264	000421	608517
000011 000175	587508	000507	000213	588403
000012 000106	605276	000379	000082	605843
000013 000083	600393	000206	000053	600735
000014 000040	623823	000157	000038	624058
000015 000031	578604	000112	000031	578778
000016 000036	554318	000116	000028	554498
000017 000030	550726	000099	000025	550880
000018 000024	639484	000077	000021	639606
000019 000020	1827339	000068	000027	1827454
000020 000016	1000597	000071	000021	1000705
000021 000014	1020412	000034	000010	1020470
000022 000007	547295	000032	000012	547346
000023 000006	456304	000046	000009	456365
000024 000005	336803	000049	000006	336863
000025 000005	284385	000026	000005	284421
000026 000002	293413	000010	000000	293425
000027 000004	293300	000011	000006	293321
000028 000005	324783	000004	000003	324795
000029 000000	342098	000003	000001	342102
000030 000001	384453	000008	000002	384464
000031 000002	367579	000001	000003	367585
000032 000001	344700	000006	000002	344709
000033 000001	284973	000003	000002	284979
000034 000001	218566	000004	000002	218573
000035 000000	186269	000001	000001	186271
000036 000000	083614	000003	000003	083620
000037 000000	047000	000006	000001	047007
000038 000001	032073	000002	000000	032076
000039 000000	034937	000003	000000	034940
000040 000001	031319	000002	000000	031322
000041 000000	019904	000002	000000	019906
000042 000000	020992	000003	000000	020995
000043 000000	016557	000000	000000	016557
000044 000000	013341	000003	000000	013344
000045 000001	009381	000004	000000	009386
000046 000000	005474	000001	000000	005475
000047 000000	003726	000002	000000	003728
000048 000000	001964	000003	000000	001967
000049 000000	001311	000004	000000	001315
000050 000001	000976	000001	000000	000978
000051 000000	000893	000001	000000	000894
000052 000000	000802	000001	000000	000803
000053 000000	000811	000001	000000	000812
000054 000000	000564	000001	000000	000565
000055 000001	000378	000000	000000	000379
000056 000001	000257	000004	000000	000262
000057 000002	000181	000001	000000	000184
000058 000004	000125	000002	000000	000131
000059 000000	000095	000003	000000	000098
000060 000001	000085	000001	000000	000087
000061 000001	000078	000000	000000	000079
000062 000003	000065	000000	000000	000068
000063 000000	000069	000001	000000	000070
000064 000002	000033	000001	000000	000036
000065 000001	000023	000001	000000	000025
000066 000000	000026	000000	000000	000026
000067 000001	000010	000000	000000	000011
000068 000000	000024	000000	000000	000024
000069 000001	000023	000000	000000	000024
000070 000000	000010	000000	000000	000010
000071 000000	000016	000000	000000	000016
000072 000000	000009	000000	000000	000009
000073 000000	000008	000000	000000	000008
000074 000000	000012	000000	000000	000012
000075 000000	000009	000000	000000	000009
000076 000000	000009	000000	000000	000009
000077 000001	000008	000000	000000	000009
000078 000001	000008	000000	000000	000009
000079 000000	000008	000000	000001	000009
000080 000000	000006	000000	000000	000006
000081 000000	000005	000000	000000	000005
000082 000000	000002	000000	000000	000002
000083 000000	000008	000000	000000	000008
000084 000000	000006	000000	000000	000006
000085 000000	000006	000000	000000	000006
000086 000000	000007	000001	000000	000008
000087 000000	000008	000000	000000	000008
000088 000000	000005	000000	000001	000006
000089 000000	000004	000000	000000	000004
000090 000000	000001	000000	000000	000001
000091 000000	000004	000000	000000	000004
000092 000000	000002	000000	000000	000002
000093 000000	000001	000000	000000	000001
000094 000000	000003	000000	000000	000003
000095 000000	000000	000000	000000	000000
000096 000000	000003	000000	000000	000003
000097 000000	000001	000000	000000	000001
000098 000001	000008	000001	000000	000010
000099 000000	000009	000000	000000	000009
000100 000000	000004	000000	000000	000004
000101 000001	000004	000000	000000	000005
000102 000000	000006	000000	000000	000006
000103 000001	000002	000000	000000	000003
000104 000000	000003	000001	000000	000004
000105 000000	000003	000000	000000	000003
000106 000000	000005	000000	000001	000006
000107 000000	000002	000000	000000	000002
000108 000000	000007	000000	000000	000007
000109 000000	000006	000000	000000	000006
000110 000000	000002	000000	000000	000002
000111 000000	000002	000000	000000	000002
000112 000000	000001	000000	000000	000001
000113 000000	000005	000001	000000	000006
000114 000000	000004	000000	000000	000004
000115 000000	000002	000000	000000	000002
000116 000000	000002	000000	000001	000003
000117 000000	000001	000000	000000	000001
000118 000000	000002	000000	000000	000002
000119 000001	000005	000001	000000	000007
000120 000000	000002	000000	000000	000002
000121 000002	000002	000000	000001	000005
000122 000000	000006	000000	000000	000006
000123 000000	000004	000000	000000	000004
000124 000000	000002	000000	000001	000003
000125 000000	000004	000000	000000	000004
000126 000000	000002	000000	000000	000002
000127 000001	000003	000000	000000	000004
000128 000000	000002	000000	000000	000002
000129 000000	000001	000000	000001	000002
000130 000000	000001	000000	000001	000002
000131 000000	000003	000000	000000	000003
000132 000000	000001	000000	000000	000001
000133 000000	000004	000000	000000	000004
000134 000000	000004	000000	000000	000004
000135 000000	000000	000000	000000	000000
000136 000000	000001	000000	000000	000001
000137 000000	000002	000000	000000	000002
000138 000000	000002	000000	000000	000002
000139 000001	000003	000000	000000	000004
000140 000001	000001	000000	000000	000002
000141 000000	000002	000000	000000	000002
000142 000000	000000	000000	000000	000000
000143 000000	000005	000000	000000	000005
000144 000000	000000	000000	000000	000000
000145 000000	000002	000000	000000	000002
000146 000001	000000	000000	000000	000001
000147 000000	000000	000000	000000	000000
000148 000000	000003	000000	000000	000003
000149 000000	000002	000000	000000	000002
000150 000000	000001	000000	000000	000001
000151 000000	000001	000000	000000	000001
000152 000000	000004	000000	000000	000004
000153 000000	000000	000000	000000	000000
000154 000000	000001	000000	000000	000001
000155 000000	000003	000000	000000	000003
000156 000000	000002	000000	000000	000002
000157 000000	000001	000000	000000	000001
000158 000000	000005	000000	000000	000005
000159 000000	000001	000000	000000	000001
000160 000000	000001	000000	000000	000001
000161 000000	000003	000000	000000	000003
000162 000000	000003	000000	000000	000003
000163 000000	000004	000000	000000	000004
000164 000000	000001	000000	000000	000001
000165 000000	000000	000000	000000	000000
000166 000000	000004	000000	000000	000004
000167 000000	000001	000000	000000	000001
000168 000000	000002	000000	000000	000002
000169 000000	000002	000000	000000	000002
000170 000000	000000	000000	000000	000000
000171 000000	000002	000000	000000	000002
000172 000000	000001	000000	000000	000001
000173 000000	000002	000000	000000	000002
000174 000000	000002	000000	000000	000002
000175 000000	000000	000000	000000	000000
000176 000000	000002	000000	000000	000002
000177 000000	000000	000000	000000	000000
000178 000000	000001	000000	000000	000001
000179 000001	000002	000000	000000	000003
000180 000000	000002	000000	000000	000002
000181 000000	000000	000000	000000	000000
000182 000000	000000	000000	000000	000000
000183 000000	000002	000000	000000	000002
000184 000000	000001	000000	000000	000001
000185 000000	000000	000000	000000	000000
000186 000000	000002	000000	000000	000002
000187 000000	000000	000000	000000	000000
000188 000000	000003	000000	000000	000003
000189 000000	000002	000000	000000	000002
000190 000000	000000	000000	000000	000000
000191 000001	000001	000000	000000	000002
000192 000000	000000	000000	000000	000000
000193 000000	000001	000000	000000	000001
000194 000000	000001	000000	000000	000001
000195 000000	000000	000000	000000	000000
000196 000000	000002	000000	000000	000002
000197 000000	000001	000000	000000	000001
000198 000000	000001	000000	000000	000001
000199 000000	000002	000000	000000	000002
000200 000000	000001	000000	000000	000001
000201 000000	000000	000000	000000	000000
000202 000000	000001	000000	000000	000001
000203 000000	000002	000000	000000	000002
000204 000000	000001	000000	000000	000001
000205 000000	000001	000000	000000	000001
000206 000000	000000	000000	000000	000000
000207 000000	000001	000000	000000	000001
000208 000000	000002	000000	000000	000002
000209 000000	000001	000000	000000	000001
